,img,exp_val,clus_pred,treshold,kern_size,text,clus-error,delta_bacche_abs,delta_bacche
0,count_100_270_2019_09_11_4864_456_1824.png,100,87.0,0.45,350.0,the number of berries,169.0,13.0,-13.0
0,count_101_271_2019_09_11_4864_00_00.png,101,64.0,0.45,350.0,the number of berries,1369.0,37.0,-37.0
0,count_102_270_2019_09_11_4864_1368_2432.png,102,105.0,0.45,350.0,the number of berries,9.0,3.0,3.0
0,count_102_270_2019_09_11_4864_1368_3040.png,102,76.0,0.45,350.0,the number of berries,676.0,26.0,-26.0
0,count_103_278_2019_09_11_4864_1368_3648.png,103,83.0,0.45,350.0,the number of berries,400.0,20.0,-20.0
0,count_103_310_2019_09_11_4864_1824_1824.png,103,123.0,0.45,350.0,the number of berries,400.0,20.0,20.0
0,count_105_270_2019_09_11_4864_456_3040.png,105,101.0,0.45,350.0,the number of berries,16.0,4.0,-4.0
0,count_105_270_2019_09_11_4864_912_1824.png,105,93.0,0.45,350.0,the number of berries,144.0,12.0,-12.0
0,count_107_274_2019_09_11_4864_1368_2432.png,107,121.0,0.45,350.0,the number of berries,196.0,14.0,14.0
0,count_108_166_2019_10_02_4864_1824_3648.png,108,114.0,0.45,350.0,the number of berries,36.0,6.0,6.0
0,count_108_271_2019_09_11_4864_912_608.png,108,95.0,0.45,350.0,the number of berries,169.0,13.0,-13.0
0,count_10_109_2019_10_02_4864_456_1216.png,10,19.0,0.45,350.0,the number of berries,81.0,9.0,9.0
0,count_10_110_2019_10_02_4864_2736_4256.png,10,39.0,0.45,350.0,the number of berries,841.0,29.0,29.0
0,count_10_112_2019_10_02_4864_3192_3648.png,10,2.0,0.45,350.0,the number of berries,64.0,8.0,-8.0
0,count_10_114_2019_10_02_4864_1824_00.png,10,51.0,0.45,350.0,the number of berries,1681.0,41.0,41.0
0,count_10_115_2019_10_02_4864_1368_00.png,10,35.0,0.45,350.0,the number of berries,625.0,25.0,25.0
0,count_10_116_2019_10_02_4864_1824_1824.png,10,33.0,0.45,350.0,the number of berries,529.0,23.0,23.0
0,count_10_119_2019_10_02_4864_1368_1824.png,10,29.0,0.45,350.0,the number of berries,361.0,19.0,19.0
0,count_10_119_2019_10_02_4864_1368_3648.png,10,15.0,0.45,350.0,the number of berries,25.0,5.0,5.0
0,count_10_120_2019_10_02_4864_1824_3648.png,10,55.0,0.45,350.0,the number of berries,2025.0,45.0,45.0
0,count_10_122_2019_10_02_4864_00_00.png,10,6.0,0.45,350.0,the number of berries,16.0,4.0,-4.0
0,count_10_122_2019_10_02_4864_1824_608.png,10,35.0,0.45,350.0,the number of berries,625.0,25.0,25.0
0,count_10_122_2019_10_02_4864_456_608.png,10,20.0,0.45,350.0,the number of berries,100.0,10.0,10.0
0,count_10_123_2019_10_02_4864_00_608.png,10,3.0,0.45,350.0,the number of berries,49.0,7.0,-7.0
0,count_10_123_2019_10_02_4864_1368_3040.png,10,31.0,0.45,350.0,the number of berries,441.0,21.0,21.0
0,count_10_123_2019_10_02_4864_3192_00.png,10,29.0,0.45,350.0,the number of berries,361.0,19.0,19.0
0,count_10_125_2019_10_02_4864_1368_3648.png,10,41.0,0.45,350.0,the number of berries,961.0,31.0,31.0
0,count_10_131_2019_10_02_4864_2280_608.png,10,16.0,0.45,350.0,the number of berries,36.0,6.0,6.0
