,img,exp_val,clus_pred,treshold,kern_size,text,clus-error,delta_bacche_abs,delta_bacche
0,count_10_109_2019_10_02_4864_456_1216.png,10,19.799999999999997,0.01,350.0,the number of berries,96.03999999999995,9.799999999999997,9.799999999999997
0,count_10_109_2019_10_02_4864_456_1216.png,10,21.45,0.05,350.0,the number of berries,131.1025,11.45,11.45
0,count_10_110_2019_10_02_4864_2736_4256.png,10,1.65,0.01,350.0,the number of berries,69.7225,8.35,-8.35
0,count_10_110_2019_10_02_4864_2736_4256.png,10,3.3,0.05,350.0,the number of berries,44.89,6.7,-6.7
0,count_10_112_2019_10_02_4864_3192_3648.png,10,3.3,0.01,350.0,the number of berries,44.89,6.7,-6.7
0,count_10_112_2019_10_02_4864_3192_3648.png,10,11.549999999999999,0.05,350.0,the number of berries,2.4024999999999967,1.549999999999999,1.549999999999999
0,count_10_115_2019_10_02_4864_1368_00.png,10,21.45,0.01,350.0,the number of berries,131.1025,11.45,11.45
0,count_10_115_2019_10_02_4864_1368_00.png,10,36.3,0.05,350.0,the number of berries,691.6899999999998,26.299999999999997,26.299999999999997
0,count_10_116_2019_10_02_4864_1824_1824.png,10,8.25,0.01,350.0,the number of berries,3.0625,1.75,-1.75
0,count_10_116_2019_10_02_4864_1824_1824.png,10,11.549999999999999,0.05,350.0,the number of berries,2.4024999999999967,1.549999999999999,1.549999999999999
0,count_10_119_2019_10_02_4864_1368_1824.png,10,3.3,0.01,350.0,the number of berries,44.89,6.7,-6.7
0,count_10_119_2019_10_02_4864_1368_1824.png,10,4.949999999999999,0.05,350.0,the number of berries,25.50250000000001,5.050000000000001,-5.050000000000001
0,count_10_120_2019_10_02_4864_1824_3648.png,10,18.15,0.01,350.0,the number of berries,66.42249999999997,8.149999999999999,8.149999999999999
0,count_10_120_2019_10_02_4864_1824_3648.png,10,31.349999999999998,0.05,350.0,the number of berries,455.82249999999993,21.349999999999998,21.349999999999998
0,count_10_122_2019_10_02_4864_00_00.png,10,4.949999999999999,0.01,350.0,the number of berries,25.50250000000001,5.050000000000001,-5.050000000000001
0,count_10_122_2019_10_02_4864_00_00.png,10,1.65,0.05,350.0,the number of berries,69.7225,8.35,-8.35
0,count_10_122_2019_10_02_4864_1824_608.png,10,13.2,0.01,350.0,the number of berries,10.239999999999995,3.1999999999999993,3.1999999999999993
0,count_10_122_2019_10_02_4864_1824_608.png,10,21.45,0.05,350.0,the number of berries,131.1025,11.45,11.45
0,count_10_123_2019_10_02_4864_00_608.png,10,4.949999999999999,0.01,350.0,the number of berries,25.50250000000001,5.050000000000001,-5.050000000000001
0,count_10_123_2019_10_02_4864_00_608.png,10,6.6,0.05,350.0,the number of berries,11.560000000000002,3.4000000000000004,-3.4000000000000004
0,count_10_123_2019_10_02_4864_1368_3040.png,10,3.3,0.01,350.0,the number of berries,44.89,6.7,-6.7
0,count_10_123_2019_10_02_4864_1368_3040.png,10,11.549999999999999,0.05,350.0,the number of berries,2.4024999999999967,1.549999999999999,1.549999999999999
0,count_10_123_2019_10_02_4864_3192_00.png,10,3.3,0.01,350.0,the number of berries,44.89,6.7,-6.7
0,count_10_123_2019_10_02_4864_3192_00.png,10,3.3,0.05,350.0,the number of berries,44.89,6.7,-6.7
0,count_10_131_2019_10_02_4864_2280_608.png,10,4.949999999999999,0.01,350.0,the number of berries,25.50250000000001,5.050000000000001,-5.050000000000001
0,count_10_131_2019_10_02_4864_2280_608.png,10,4.949999999999999,0.05,350.0,the number of berries,25.50250000000001,5.050000000000001,-5.050000000000001
0,count_10_147_2019_10_02_4864_00_3648.png,10,1.65,0.01,350.0,the number of berries,69.7225,8.35,-8.35
0,count_10_147_2019_10_02_4864_00_3648.png,10,1.65,0.05,350.0,the number of berries,69.7225,8.35,-8.35
0,count_10_147_2019_10_02_4864_1368_1824.png,10,4.949999999999999,0.01,350.0,the number of berries,25.50250000000001,5.050000000000001,-5.050000000000001
0,count_10_147_2019_10_02_4864_1368_1824.png,10,9.899999999999999,0.05,350.0,the number of berries,0.010000000000000285,0.10000000000000142,-0.10000000000000142
0,count_10_147_2019_10_02_4864_1824_4256.png,10,9.899999999999999,0.01,350.0,the number of berries,0.010000000000000285,0.10000000000000142,-0.10000000000000142
0,count_10_147_2019_10_02_4864_1824_4256.png,10,13.2,0.05,350.0,the number of berries,10.239999999999995,3.1999999999999993,3.1999999999999993
0,count_10_148_2019_10_02_4864_00_00.png,10,8.25,0.01,350.0,the number of berries,3.0625,1.75,-1.75
0,count_10_148_2019_10_02_4864_00_00.png,10,18.15,0.05,350.0,the number of berries,66.42249999999997,8.149999999999999,8.149999999999999
0,count_10_148_2019_10_02_4864_456_608.png,10,11.549999999999999,0.01,350.0,the number of berries,2.4024999999999967,1.549999999999999,1.549999999999999
0,count_10_148_2019_10_02_4864_456_608.png,10,36.3,0.05,350.0,the number of berries,691.6899999999998,26.299999999999997,26.299999999999997
0,count_10_151_2019_10_02_4864_00_1824.png,10,4.949999999999999,0.01,350.0,the number of berries,25.50250000000001,5.050000000000001,-5.050000000000001
0,count_10_151_2019_10_02_4864_00_1824.png,10,8.25,0.05,350.0,the number of berries,3.0625,1.75,-1.75
0,count_110_166_2019_10_02_4864_2280_4256.png,110,29.7,0.01,350.0,the number of berries,6448.089999999999,80.3,-80.3
0,count_110_166_2019_10_02_4864_2280_4256.png,110,133.65,0.05,350.0,the number of berries,559.3225000000002,23.650000000000006,23.650000000000006
0,count_11_109_2019_10_02_4864_1368_1216.png,11,16.5,0.01,350.0,the number of berries,30.25,5.5,5.5
0,count_11_109_2019_10_02_4864_1368_1216.png,11,28.049999999999997,0.05,350.0,the number of berries,290.70249999999993,17.049999999999997,17.049999999999997
0,count_11_109_2019_10_02_4864_912_1216.png,11,13.2,0.01,350.0,the number of berries,4.839999999999997,2.1999999999999993,2.1999999999999993
0,count_11_109_2019_10_02_4864_912_1216.png,11,26.4,0.05,350.0,the number of berries,237.15999999999997,15.399999999999999,15.399999999999999
0,count_11_114_2019_10_02_4864_456_4256.png,11,1.65,0.01,350.0,the number of berries,87.4225,9.35,-9.35
0,count_11_114_2019_10_02_4864_456_4256.png,11,3.3,0.05,350.0,the number of berries,59.290000000000006,7.7,-7.7
0,count_11_116_2019_10_02_4864_1824_608.png,11,9.899999999999999,0.01,350.0,the number of berries,1.210000000000003,1.1000000000000014,-1.1000000000000014
0,count_11_116_2019_10_02_4864_1824_608.png,11,8.25,0.05,350.0,the number of berries,7.5625,2.75,-2.75
0,count_11_119_2019_10_02_4864_00_3648.png,11,3.3,0.01,350.0,the number of berries,59.290000000000006,7.7,-7.7
0,count_11_119_2019_10_02_4864_00_3648.png,11,4.949999999999999,0.05,350.0,the number of berries,36.602500000000006,6.050000000000001,-6.050000000000001
0,count_11_119_2019_10_02_4864_1824_00.png,11,1.65,0.01,350.0,the number of berries,87.4225,9.35,-9.35
0,count_11_119_2019_10_02_4864_1824_00.png,11,3.3,0.05,350.0,the number of berries,59.290000000000006,7.7,-7.7
0,count_11_120_2019_10_02_4864_00_00.png,11,1.65,0.01,350.0,the number of berries,87.4225,9.35,-9.35
0,count_11_120_2019_10_02_4864_00_00.png,11,6.6,0.05,350.0,the number of berries,19.360000000000003,4.4,-4.4
0,count_11_121_2019_10_02_4864_00_00.png,11,1.65,0.01,350.0,the number of berries,87.4225,9.35,-9.35
0,count_11_121_2019_10_02_4864_00_00.png,11,6.6,0.05,350.0,the number of berries,19.360000000000003,4.4,-4.4
0,count_11_122_2019_10_02_4864_1368_3040.png,11,8.25,0.01,350.0,the number of berries,7.5625,2.75,-2.75
0,count_11_122_2019_10_02_4864_1368_3040.png,11,14.85,0.05,350.0,the number of berries,14.822499999999998,3.8499999999999996,3.8499999999999996
0,count_11_126_2019_10_02_4864_00_00.png,11,3.3,0.01,350.0,the number of berries,59.290000000000006,7.7,-7.7
0,count_11_126_2019_10_02_4864_00_00.png,11,3.3,0.05,350.0,the number of berries,59.290000000000006,7.7,-7.7
0,count_11_126_2019_10_02_4864_912_1216.png,11,3.3,0.01,350.0,the number of berries,59.290000000000006,7.7,-7.7
0,count_11_126_2019_10_02_4864_912_1216.png,11,3.3,0.05,350.0,the number of berries,59.290000000000006,7.7,-7.7
0,count_11_127_2019_10_02_4864_00_608.png,11,3.3,0.01,350.0,the number of berries,59.290000000000006,7.7,-7.7
0,count_11_127_2019_10_02_4864_00_608.png,11,3.3,0.05,350.0,the number of berries,59.290000000000006,7.7,-7.7
0,count_11_127_2019_10_02_4864_456_4256.png,11,6.6,0.01,350.0,the number of berries,19.360000000000003,4.4,-4.4
0,count_11_127_2019_10_02_4864_456_4256.png,11,9.899999999999999,0.05,350.0,the number of berries,1.210000000000003,1.1000000000000014,-1.1000000000000014
0,count_11_131_2019_10_02_4864_1368_00.png,11,4.949999999999999,0.01,350.0,the number of berries,36.602500000000006,6.050000000000001,-6.050000000000001
0,count_11_131_2019_10_02_4864_1368_00.png,11,6.6,0.05,350.0,the number of berries,19.360000000000003,4.4,-4.4
0,count_11_131_2019_10_02_4864_1368_1824.png,11,6.6,0.01,350.0,the number of berries,19.360000000000003,4.4,-4.4
0,count_11_131_2019_10_02_4864_1368_1824.png,11,6.6,0.05,350.0,the number of berries,19.360000000000003,4.4,-4.4
0,count_11_131_2019_10_02_4864_912_3040.png,11,4.949999999999999,0.01,350.0,the number of berries,36.602500000000006,6.050000000000001,-6.050000000000001
0,count_11_131_2019_10_02_4864_912_3040.png,11,9.899999999999999,0.05,350.0,the number of berries,1.210000000000003,1.1000000000000014,-1.1000000000000014
0,count_11_132_2019_10_02_4864_00_1824.png,11,1.65,0.01,350.0,the number of berries,87.4225,9.35,-9.35
0,count_11_132_2019_10_02_4864_00_1824.png,11,3.3,0.05,350.0,the number of berries,59.290000000000006,7.7,-7.7
0,count_11_133_2019_10_02_4864_00_3648.png,11,6.6,0.01,350.0,the number of berries,19.360000000000003,4.4,-4.4
0,count_11_133_2019_10_02_4864_00_3648.png,11,21.45,0.05,350.0,the number of berries,109.20249999999999,10.45,10.45
0,count_11_133_2019_10_02_4864_2280_2432.png,11,8.25,0.01,350.0,the number of berries,7.5625,2.75,-2.75
0,count_11_133_2019_10_02_4864_2280_2432.png,11,4.949999999999999,0.05,350.0,the number of berries,36.602500000000006,6.050000000000001,-6.050000000000001
0,count_11_133_2019_10_02_4864_456_1216.png,11,4.949999999999999,0.01,350.0,the number of berries,36.602500000000006,6.050000000000001,-6.050000000000001
0,count_11_133_2019_10_02_4864_456_1216.png,11,3.3,0.05,350.0,the number of berries,59.290000000000006,7.7,-7.7
0,count_11_134_2019_10_02_4864_00_00.png,11,8.25,0.01,350.0,the number of berries,7.5625,2.75,-2.75
0,count_11_134_2019_10_02_4864_00_00.png,11,11.549999999999999,0.05,350.0,the number of berries,0.3024999999999988,0.5499999999999989,0.5499999999999989
0,count_11_137_2019_10_02_4864_3192_3648.png,11,18.15,0.01,350.0,the number of berries,51.12249999999998,7.149999999999999,7.149999999999999
0,count_11_137_2019_10_02_4864_3192_3648.png,11,21.45,0.05,350.0,the number of berries,109.20249999999999,10.45,10.45
0,count_11_138_2019_10_02_4864_2736_00.png,11,8.25,0.01,350.0,the number of berries,7.5625,2.75,-2.75
0,count_11_138_2019_10_02_4864_2736_00.png,11,6.6,0.05,350.0,the number of berries,19.360000000000003,4.4,-4.4
0,count_11_138_2019_10_02_4864_3192_00.png,11,6.6,0.01,350.0,the number of berries,19.360000000000003,4.4,-4.4
0,count_11_138_2019_10_02_4864_3192_00.png,11,4.949999999999999,0.05,350.0,the number of berries,36.602500000000006,6.050000000000001,-6.050000000000001
0,count_11_144_2019_10_02_4864_2280_4256.png,11,23.099999999999998,0.01,350.0,the number of berries,146.40999999999994,12.099999999999998,12.099999999999998
0,count_11_144_2019_10_02_4864_2280_4256.png,11,47.849999999999994,0.05,350.0,the number of berries,1357.9224999999997,36.849999999999994,36.849999999999994
0,count_11_144_2019_10_02_4864_3192_1216.png,11,19.799999999999997,0.01,350.0,the number of berries,77.43999999999996,8.799999999999997,8.799999999999997
0,count_11_144_2019_10_02_4864_3192_1216.png,11,37.949999999999996,0.05,350.0,the number of berries,726.3024999999998,26.949999999999996,26.949999999999996
0,count_11_148_2019_10_02_4864_2736_00.png,11,3.3,0.01,350.0,the number of berries,59.290000000000006,7.7,-7.7
0,count_11_148_2019_10_02_4864_2736_00.png,11,6.6,0.05,350.0,the number of berries,19.360000000000003,4.4,-4.4
0,count_11_148_2019_10_02_4864_912_00.png,11,18.15,0.01,350.0,the number of berries,51.12249999999998,7.149999999999999,7.149999999999999
0,count_11_148_2019_10_02_4864_912_00.png,11,36.3,0.05,350.0,the number of berries,640.0899999999998,25.299999999999997,25.299999999999997
0,count_11_151_2019_10_02_4864_00_4256.png,11,1.65,0.01,350.0,the number of berries,87.4225,9.35,-9.35
0,count_11_151_2019_10_02_4864_00_4256.png,11,14.85,0.05,350.0,the number of berries,14.822499999999998,3.8499999999999996,3.8499999999999996
0,count_12_109_2019_10_02_4864_00_608.png,12,9.899999999999999,0.01,350.0,the number of berries,4.410000000000006,2.1000000000000014,-2.1000000000000014
0,count_12_109_2019_10_02_4864_00_608.png,12,13.2,0.05,350.0,the number of berries,1.4399999999999984,1.1999999999999993,1.1999999999999993
0,count_12_109_2019_10_02_4864_1824_608.png,12,16.5,0.01,350.0,the number of berries,20.25,4.5,4.5
0,count_12_109_2019_10_02_4864_1824_608.png,12,26.4,0.05,350.0,the number of berries,207.35999999999996,14.399999999999999,14.399999999999999
0,count_12_109_2019_10_02_4864_2280_608.png,12,13.2,0.01,350.0,the number of berries,1.4399999999999984,1.1999999999999993,1.1999999999999993
0,count_12_109_2019_10_02_4864_2280_608.png,12,41.25,0.05,350.0,the number of berries,855.5625,29.25,29.25
0,count_12_110_2019_10_02_4864_912_4256.png,12,3.3,0.01,350.0,the number of berries,75.68999999999998,8.7,-8.7
0,count_12_110_2019_10_02_4864_912_4256.png,12,8.25,0.05,350.0,the number of berries,14.0625,3.75,-3.75
0,count_12_115_2019_10_02_4864_3192_1216.png,12,4.949999999999999,0.01,350.0,the number of berries,49.70250000000001,7.050000000000001,-7.050000000000001
0,count_12_115_2019_10_02_4864_3192_1216.png,12,9.899999999999999,0.05,350.0,the number of berries,4.410000000000006,2.1000000000000014,-2.1000000000000014
0,count_12_116_2019_10_02_4864_456_3040.png,12,3.3,0.01,350.0,the number of berries,75.68999999999998,8.7,-8.7
0,count_12_116_2019_10_02_4864_456_3040.png,12,3.3,0.05,350.0,the number of berries,75.68999999999998,8.7,-8.7
0,count_12_118_2019_10_02_4864_00_4256.png,12,3.3,0.01,350.0,the number of berries,75.68999999999998,8.7,-8.7
0,count_12_118_2019_10_02_4864_00_4256.png,12,1.65,0.05,350.0,the number of berries,107.12249999999999,10.35,-10.35
0,count_12_118_2019_10_02_4864_00_608.png,12,6.6,0.01,350.0,the number of berries,29.160000000000004,5.4,-5.4
0,count_12_118_2019_10_02_4864_00_608.png,12,9.899999999999999,0.05,350.0,the number of berries,4.410000000000006,2.1000000000000014,-2.1000000000000014
0,count_12_118_2019_10_02_4864_2736_4256.png,12,8.25,0.01,350.0,the number of berries,14.0625,3.75,-3.75
0,count_12_118_2019_10_02_4864_2736_4256.png,12,8.25,0.05,350.0,the number of berries,14.0625,3.75,-3.75
0,count_12_119_2019_10_02_4864_2736_4256.png,12,4.949999999999999,0.01,350.0,the number of berries,49.70250000000001,7.050000000000001,-7.050000000000001
0,count_12_119_2019_10_02_4864_2736_4256.png,12,6.6,0.05,350.0,the number of berries,29.160000000000004,5.4,-5.4
0,count_12_122_2019_10_02_4864_00_2432.png,12,1.65,0.01,350.0,the number of berries,107.12249999999999,10.35,-10.35
0,count_12_122_2019_10_02_4864_00_2432.png,12,1.65,0.05,350.0,the number of berries,107.12249999999999,10.35,-10.35
0,count_12_122_2019_10_02_4864_2280_4256.png,12,13.2,0.01,350.0,the number of berries,1.4399999999999984,1.1999999999999993,1.1999999999999993
0,count_12_122_2019_10_02_4864_2280_4256.png,12,21.45,0.05,350.0,the number of berries,89.30249999999998,9.45,9.45
0,count_12_125_2019_10_02_4864_2736_4256.png,12,1.65,0.01,350.0,the number of berries,107.12249999999999,10.35,-10.35
0,count_12_125_2019_10_02_4864_2736_4256.png,12,1.65,0.05,350.0,the number of berries,107.12249999999999,10.35,-10.35
0,count_12_133_2019_10_02_4864_1824_00.png,12,4.949999999999999,0.01,350.0,the number of berries,49.70250000000001,7.050000000000001,-7.050000000000001
0,count_12_133_2019_10_02_4864_1824_00.png,12,9.899999999999999,0.05,350.0,the number of berries,4.410000000000006,2.1000000000000014,-2.1000000000000014
0,count_12_133_2019_10_02_4864_3192_3040.png,12,4.949999999999999,0.01,350.0,the number of berries,49.70250000000001,7.050000000000001,-7.050000000000001
0,count_12_133_2019_10_02_4864_3192_3040.png,12,6.6,0.05,350.0,the number of berries,29.160000000000004,5.4,-5.4
0,count_12_137_2019_10_02_4864_912_4256.png,12,11.549999999999999,0.01,350.0,the number of berries,0.20250000000000096,0.45000000000000107,-0.45000000000000107
0,count_12_137_2019_10_02_4864_912_4256.png,12,26.4,0.05,350.0,the number of berries,207.35999999999996,14.399999999999999,14.399999999999999
0,count_12_144_2019_10_02_4864_00_4256.png,12,4.949999999999999,0.01,350.0,the number of berries,49.70250000000001,7.050000000000001,-7.050000000000001
0,count_12_144_2019_10_02_4864_00_4256.png,12,9.899999999999999,0.05,350.0,the number of berries,4.410000000000006,2.1000000000000014,-2.1000000000000014
0,count_12_151_2019_10_02_4864_1824_3648.png,12,6.6,0.01,350.0,the number of berries,29.160000000000004,5.4,-5.4
0,count_12_151_2019_10_02_4864_1824_3648.png,12,24.75,0.05,350.0,the number of berries,162.5625,12.75,12.75
0,count_12_151_2019_10_02_4864_2280_1216.png,12,8.25,0.01,350.0,the number of berries,14.0625,3.75,-3.75
0,count_12_151_2019_10_02_4864_2280_1216.png,12,16.5,0.05,350.0,the number of berries,20.25,4.5,4.5
0,count_12_151_2019_10_02_4864_3192_1216.png,12,3.3,0.01,350.0,the number of berries,75.68999999999998,8.7,-8.7
0,count_12_151_2019_10_02_4864_3192_1216.png,12,4.949999999999999,0.05,350.0,the number of berries,49.70250000000001,7.050000000000001,-7.050000000000001
0,count_13_112_2019_10_02_4864_1824_3648.png,13,9.899999999999999,0.01,350.0,the number of berries,9.610000000000008,3.1000000000000014,-3.1000000000000014
0,count_13_112_2019_10_02_4864_1824_3648.png,13,11.549999999999999,0.05,350.0,the number of berries,2.102500000000003,1.450000000000001,-1.450000000000001
0,count_13_115_2019_10_02_4864_2736_3040.png,13,13.2,0.01,350.0,the number of berries,0.039999999999999716,0.1999999999999993,0.1999999999999993
0,count_13_115_2019_10_02_4864_2736_3040.png,13,33.0,0.05,350.0,the number of berries,400.0,20.0,20.0
0,count_13_118_2019_10_02_4864_1368_1824.png,13,3.3,0.01,350.0,the number of berries,94.08999999999999,9.7,-9.7
0,count_13_118_2019_10_02_4864_1368_1824.png,13,3.3,0.05,350.0,the number of berries,94.08999999999999,9.7,-9.7
0,count_13_118_2019_10_02_4864_2736_00.png,13,4.949999999999999,0.01,350.0,the number of berries,64.80250000000001,8.05,-8.05
0,count_13_118_2019_10_02_4864_2736_00.png,13,6.6,0.05,350.0,the number of berries,40.96000000000001,6.4,-6.4
0,count_13_118_2019_10_02_4864_912_2432.png,13,4.949999999999999,0.01,350.0,the number of berries,64.80250000000001,8.05,-8.05
0,count_13_118_2019_10_02_4864_912_2432.png,13,13.2,0.05,350.0,the number of berries,0.039999999999999716,0.1999999999999993,0.1999999999999993
0,count_13_119_2019_10_02_4864_2280_2432.png,13,4.949999999999999,0.01,350.0,the number of berries,64.80250000000001,8.05,-8.05
0,count_13_119_2019_10_02_4864_2280_2432.png,13,3.3,0.05,350.0,the number of berries,94.08999999999999,9.7,-9.7
0,count_13_119_2019_10_02_4864_3192_3648.png,13,14.85,0.01,350.0,the number of berries,3.4224999999999985,1.8499999999999996,1.8499999999999996
0,count_13_119_2019_10_02_4864_3192_3648.png,13,18.15,0.05,350.0,the number of berries,26.522499999999987,5.149999999999999,5.149999999999999
0,count_13_121_2019_10_02_4864_3192_00.png,13,1.65,0.01,350.0,the number of berries,128.8225,11.35,-11.35
0,count_13_121_2019_10_02_4864_3192_00.png,13,1.65,0.05,350.0,the number of berries,128.8225,11.35,-11.35
0,count_13_122_2019_10_02_4864_456_4256.png,13,3.3,0.01,350.0,the number of berries,94.08999999999999,9.7,-9.7
0,count_13_122_2019_10_02_4864_456_4256.png,13,3.3,0.05,350.0,the number of berries,94.08999999999999,9.7,-9.7
0,count_13_124_2019_10_02_4864_00_3648.png,13,1.65,0.01,350.0,the number of berries,128.8225,11.35,-11.35
0,count_13_124_2019_10_02_4864_00_3648.png,13,3.3,0.05,350.0,the number of berries,94.08999999999999,9.7,-9.7
0,count_13_125_2019_10_02_4864_3192_3040.png,13,1.65,0.01,350.0,the number of berries,128.8225,11.35,-11.35
0,count_13_125_2019_10_02_4864_3192_3040.png,13,3.3,0.05,350.0,the number of berries,94.08999999999999,9.7,-9.7
0,count_13_125_2019_10_02_4864_912_4256.png,13,6.6,0.01,350.0,the number of berries,40.96000000000001,6.4,-6.4
0,count_13_125_2019_10_02_4864_912_4256.png,13,4.949999999999999,0.05,350.0,the number of berries,64.80250000000001,8.05,-8.05
0,count_13_128_2019_10_02_4864_00_608.png,13,3.3,0.01,350.0,the number of berries,94.08999999999999,9.7,-9.7
0,count_13_128_2019_10_02_4864_00_608.png,13,8.25,0.05,350.0,the number of berries,22.5625,4.75,-4.75
0,count_13_130_2019_10_02_4864_2736_00.png,13,6.6,0.01,350.0,the number of berries,40.96000000000001,6.4,-6.4
0,count_13_130_2019_10_02_4864_2736_00.png,13,8.25,0.05,350.0,the number of berries,22.5625,4.75,-4.75
0,count_13_133_2019_10_02_4864_456_608.png,13,13.2,0.01,350.0,the number of berries,0.039999999999999716,0.1999999999999993,0.1999999999999993
0,count_13_133_2019_10_02_4864_456_608.png,13,8.25,0.05,350.0,the number of berries,22.5625,4.75,-4.75
0,count_13_144_2019_10_02_4864_00_00.png,13,39.599999999999994,0.01,350.0,the number of berries,707.5599999999997,26.599999999999994,26.599999999999994
0,count_13_144_2019_10_02_4864_00_00.png,13,49.5,0.05,350.0,the number of berries,1332.25,36.5,36.5
0,count_13_148_2019_10_02_4864_3192_1824.png,13,14.85,0.01,350.0,the number of berries,3.4224999999999985,1.8499999999999996,1.8499999999999996
0,count_13_148_2019_10_02_4864_3192_1824.png,13,16.5,0.05,350.0,the number of berries,12.25,3.5,3.5
0,count_14_109_2019_10_02_4864_00_1824.png,14,6.6,0.01,350.0,the number of berries,54.760000000000005,7.4,-7.4
0,count_14_109_2019_10_02_4864_00_1824.png,14,13.2,0.05,350.0,the number of berries,0.6400000000000011,0.8000000000000007,-0.8000000000000007
0,count_14_110_2019_10_02_4864_456_2432.png,14,1.65,0.01,350.0,the number of berries,152.52249999999998,12.35,-12.35
0,count_14_110_2019_10_02_4864_456_2432.png,14,1.65,0.05,350.0,the number of berries,152.52249999999998,12.35,-12.35
0,count_14_110_2019_10_02_4864_912_3040.png,14,1.65,0.01,350.0,the number of berries,152.52249999999998,12.35,-12.35
0,count_14_110_2019_10_02_4864_912_3040.png,14,3.3,0.05,350.0,the number of berries,114.48999999999998,10.7,-10.7
0,count_14_111_2019_10_02_4864_3192_3648.png,14,4.949999999999999,0.01,350.0,the number of berries,81.90250000000002,9.05,-9.05
0,count_14_111_2019_10_02_4864_3192_3648.png,14,16.5,0.05,350.0,the number of berries,6.25,2.5,2.5
0,count_14_112_2019_10_02_4864_1368_00.png,14,11.549999999999999,0.01,350.0,the number of berries,6.002500000000005,2.450000000000001,-2.450000000000001
0,count_14_112_2019_10_02_4864_1368_00.png,14,44.55,0.05,350.0,the number of berries,933.3024999999998,30.549999999999997,30.549999999999997
0,count_14_114_2019_10_02_4864_00_4256.png,14,3.3,0.01,350.0,the number of berries,114.48999999999998,10.7,-10.7
0,count_14_114_2019_10_02_4864_00_4256.png,14,11.549999999999999,0.05,350.0,the number of berries,6.002500000000005,2.450000000000001,-2.450000000000001
0,count_14_114_2019_10_02_4864_456_3040.png,14,4.949999999999999,0.01,350.0,the number of berries,81.90250000000002,9.05,-9.05
0,count_14_114_2019_10_02_4864_456_3040.png,14,6.6,0.05,350.0,the number of berries,54.760000000000005,7.4,-7.4
0,count_14_118_2019_10_02_4864_3192_3648.png,14,3.3,0.01,350.0,the number of berries,114.48999999999998,10.7,-10.7
0,count_14_118_2019_10_02_4864_3192_3648.png,14,1.65,0.05,350.0,the number of berries,152.52249999999998,12.35,-12.35
0,count_14_119_2019_10_02_4864_1368_3040.png,14,9.899999999999999,0.01,350.0,the number of berries,16.810000000000013,4.100000000000001,-4.100000000000001
0,count_14_119_2019_10_02_4864_1368_3040.png,14,9.899999999999999,0.05,350.0,the number of berries,16.810000000000013,4.100000000000001,-4.100000000000001
0,count_14_119_2019_10_02_4864_2280_4256.png,14,6.6,0.01,350.0,the number of berries,54.760000000000005,7.4,-7.4
0,count_14_119_2019_10_02_4864_2280_4256.png,14,6.6,0.05,350.0,the number of berries,54.760000000000005,7.4,-7.4
0,count_14_119_2019_10_02_4864_456_3040.png,14,1.65,0.01,350.0,the number of berries,152.52249999999998,12.35,-12.35
0,count_14_119_2019_10_02_4864_456_3040.png,14,3.3,0.05,350.0,the number of berries,114.48999999999998,10.7,-10.7
