,img,exp_val,clus_pred,treshold,kern_size,text,clus-error,delta_bacche_abs,delta_bacche
0,count_100_270_2019_09_11_4864_456_1824.png,100,31.0,0.02,350.0,the number of berries,4761.0,69.0,-69.0
0,count_100_270_2019_09_11_4864_456_1824.png,100,54.0,0.025,350.0,the number of berries,2116.0,46.0,-46.0
0,count_100_270_2019_09_11_4864_456_1824.png,100,72.0,0.03,350.0,the number of berries,784.0,28.0,-28.0
0,count_100_270_2019_09_11_4864_456_1824.png,100,72.0,0.035,350.0,the number of berries,784.0,28.0,-28.0
0,count_100_270_2019_09_11_4864_456_1824.png,100,90.0,0.04,350.0,the number of berries,100.0,10.0,-10.0
0,count_100_270_2019_09_11_4864_456_1824.png,100,96.0,0.045,350.0,the number of berries,16.0,4.0,-4.0
0,count_100_270_2019_09_11_4864_456_1824.png,100,113.0,0.05,350.0,the number of berries,169.0,13.0,13.0
0,count_100_270_2019_09_11_4864_456_1824.png,100,131.0,0.055,350.0,the number of berries,961.0,31.0,31.0
0,count_100_270_2019_09_11_4864_456_1824.png,100,139.0,0.06,350.0,the number of berries,1521.0,39.0,39.0
0,count_100_270_2019_09_11_4864_456_1824.png,100,148.0,0.065,350.0,the number of berries,2304.0,48.0,48.0
0,count_100_270_2019_09_11_4864_456_1824.png,100,148.0,0.07,350.0,the number of berries,2304.0,48.0,48.0
0,count_100_270_2019_09_11_4864_456_1824.png,100,146.0,0.075,350.0,the number of berries,2116.0,46.0,46.0
0,count_101_271_2019_09_11_4864_00_00.png,101,34.0,0.02,350.0,the number of berries,4489.0,67.0,-67.0
0,count_101_271_2019_09_11_4864_00_00.png,101,32.0,0.025,350.0,the number of berries,4761.0,69.0,-69.0
0,count_101_271_2019_09_11_4864_00_00.png,101,45.0,0.03,350.0,the number of berries,3136.0,56.0,-56.0
0,count_101_271_2019_09_11_4864_00_00.png,101,41.0,0.035,350.0,the number of berries,3600.0,60.0,-60.0
0,count_101_271_2019_09_11_4864_00_00.png,101,58.0,0.04,350.0,the number of berries,1849.0,43.0,-43.0
0,count_101_271_2019_09_11_4864_00_00.png,101,64.0,0.045,350.0,the number of berries,1369.0,37.0,-37.0
0,count_101_271_2019_09_11_4864_00_00.png,101,63.0,0.05,350.0,the number of berries,1444.0,38.0,-38.0
0,count_101_271_2019_09_11_4864_00_00.png,101,92.0,0.055,350.0,the number of berries,81.0,9.0,-9.0
0,count_101_271_2019_09_11_4864_00_00.png,101,113.0,0.06,350.0,the number of berries,144.0,12.0,12.0
0,count_101_271_2019_09_11_4864_00_00.png,101,113.0,0.065,350.0,the number of berries,144.0,12.0,12.0
0,count_101_271_2019_09_11_4864_00_00.png,101,119.0,0.07,350.0,the number of berries,324.0,18.0,18.0
